Psalm1.0	Psalm 1. Beatus vir, qui non abiit.	Psalm 1. Beatus vir, qui non abiit.	1000	1
Psalm90.2	2 Before the mountains were brought forth, or ever the earth and the world were made * thou art God from everlasting, and world without end.	Before the mountains were brought forth, or ever the earth and the world were made * thou art God from everlasting, and world without end.	90002	1575
Psalm90.3	3 Thou turnest man to destruction * again thou sayest, Come again, ye children of men.	Thou turnest man to destruction * again thou sayest, Come again, ye children of men.	90003	1576
Psalm90.4	4 For a thousand years in thy sight are but as yesterday * seeing that is past as a watch in the night.	For a thousand years in thy sight are but as yesterday * seeing that is past as a watch in the night.	90004	1577
Psalm90.5	5 As soon as thou scatterest them they are even as a sleep * and fade away suddenly like the grass.	As soon as thou scatterest them they are even as a sleep * and fade away suddenly like the grass.	90005	1578
Psalm90.6	6 In the morning it is green, and groweth up * but in the evening it is cut down, dried up, and withered.	In the morning it is green, and groweth up * but in the evening it is cut down, dried up, and withered.	90006	1579
Psalm90.7	7 For we consume away in thy displeasure * and are afraid at thy wrathful indignation.	For we consume away in thy displeasure * and are afraid at thy wrathful indignation.	90007	1580
Psalm90.8	8 Thou hast set our misdeeds before thee * and our secret sins in the light of thy countenance.	Thou hast set our misdeeds before thee * and our secret sins in the light of thy countenance.	90008	1581
Psalm90.9	9 For when thou art angry all our days are gone * we bring our years to an end, as it were a tale that is told.	For when thou art angry all our days are gone * we bring our years to an end, as it were a tale that is told.	90009	1582
Psalm90.10	10 The days of our age are threescore years and ten; and though men be so strong that they come to fourscore years * yet is their strength then but labour and sorrow; so soon passeth it away, and we are gone.	The days of our age are threescore years and ten; and though men be so strong that they come to fourscore years * yet is their strength then but labour and sorrow; so soon passeth it away, and we are gone.	90010	1583
Psalm90.11	11 But who regardeth the power of thy wrath * for even thereafter as a man feareth, so is thy displeasure.	But who regardeth the power of thy wrath * for even thereafter as a man feareth, so is thy displeasure.	90011	1584
Psalm90.12	12 So teach us to number our days * that we may apply our hearts unto wisdom.	So teach us to number our days * that we may apply our hearts unto wisdom.	90012	1585
Psalm90.13	13 Turn thee again, O Lord, at the last * and be gracious unto thy servants.	Turn thee again, O Lord, at the last * and be gracious unto thy servants.	90013	1586
Psalm90.14	14 O satisfy us with thy mercy, and that soon * so shall we rejoice and be glad all the days of our life.	O satisfy us with thy mercy, and that soon * so shall we rejoice and be glad all the days of our life.	90014	1587
Psalm90.15	15 Comfort us again now after the time that thou hast plagued us * and for the years wherein we have suffered adversity.	Comfort us again now after the time that thou hast plagued us * and for the years wherein we have suffered adversity.	90015	1588
Psalm90.16	16 Shew thy servants thy work * and their children thy glory.	Shew thy servants thy work * and their children thy glory.	90016	1589
Psalm90.17	17 And the glorious majesty of the Lord our God be upon us * prosper thou the work of our hands upon us, O prosper thou our handywork.	And the glorious majesty of the Lord our God be upon us * prosper thou the work of our hands upon us, O prosper thou our handywork.	90017	1590
Psalm91.0	Psalm 91. Qui habitat.	Psalm 91. Qui habitat.	91000	1591
Psalm91.1	1 WHOSO dwelleth under the defence of the most High * shall abide under the shadow of the Almighty.	WHOSO dwelleth under the defence of the most High * shall abide under the shadow of the Almighty.	91001	1592
Psalm91.2	2 I will say unto the Lord, Thou art my hope, and my strong hold * my God, in him will I trust.	I will say unto the Lord, Thou art my hope, and my strong hold * my God, in him will I trust.	91002	1593
Psalm91.3	3 For he shall deliver thee from the snare of the hunter * and from the noisome pestilence.	For he shall deliver thee from the snare of the hunter * and from the noisome pestilence.	91003	1594
Psalm91.4	4 He shall defend thee under his wings, and thou shalt be safe under his feathers * his faithfulness and truth shall be thy shield and buckler.	He shall defend thee under his wings, and thou shalt be safe under his feathers * his faithfulness and truth shall be thy shield and buckler.	91004	1595
Psalm91.5	5 Thou shalt not be afraid for any terror by night * nor for the arrow that flieth by day;	Thou shalt not be afraid for any terror by night * nor for the arrow that flieth by day;	91005	1596
Psalm91.6	6 For the pestilence that walketh in darkness * nor for the sickness that destroyeth in the noon-day.	For the pestilence that walketh in darkness * nor for the sickness that destroyeth in the noon-day.	91006	1597
Psalm91.7	7 A thousand shall fall beside thee, and ten thousand at thy right hand * but it shall not come nigh thee.	A thousand shall fall beside thee, and ten thousand at thy right hand * but it shall not come nigh thee.	91007	1598
Psalm91.8	8 Yea, with thine eyes shalt thou behold * and see the reward of the ungodly.	Yea, with thine eyes shalt thou behold * and see the reward of the ungodly.	91008	1599
Psalm91.9	9 For thou, Lord, art my hope * thou hast set thine house of defence very high.	For thou, Lord, art my hope * thou hast set thine house of defence very high.	91009	1600
Psalm91.10	10 There shall no evil happen unto thee * neither shall any plague come nigh thy dwelling.	There shall no evil happen unto thee * neither shall any plague come nigh thy dwelling.	91010	1601
Psalm91.11	11 For he shall give his angels charge over thee * to keep thee in all thy ways.	For he shall give his angels charge over thee * to keep thee in all thy ways.	91011	1602
Psalm91.12	12 They shall bear thee in their hands * that thou hurt not thy foot against a stone.	They shall bear thee in their hands * that thou hurt not thy foot against a stone.	91012	1603
Psalm91.13	13 Thou shalt go upon the lion and adder * the young lion and the dragon shalt thou tread under thy feet.	Thou shalt go upon the lion and adder * the young lion and the dragon shalt thou tread under thy feet.	91013	1604
Psalm91.14	14 Because he hath set his love upon me, therefore will I deliver him * I will set him up, because he hath known my Name.	Because he hath set his love upon me, therefore will I deliver him * I will set him up, because he hath known my Name.	91014	1605
Psalm91.15	15 He shall call upon me, and I will hear him * yea, I am with him in trouble; I will deliver him, and bring him to honour.	He shall call upon me, and I will hear him * yea, I am with him in trouble; I will deliver him, and bring him to honour.	91015	1606
Psalm91.16	16 With long life will I satisfy him * and shew him my salvation.	With long life will I satisfy him * and shew him my salvation.	91016	1607
Psalm92.0	Psalm 92. Bonum est confiteri.	Psalm 92. Bonum est confiteri.	92000	1608
Psalm92.1	1 IT IS a good thing to give thanks unto the Lord * and to sing praises unto thy Name, O most Highest;	IT IS a good thing to give thanks unto the Lord * and to sing praises unto thy Name, O most Highest;	92001	1609
Psalm92.2	2 To tell of thy loving-kindness early in the morning * and of thy truth in the night-season;	To tell of thy loving-kindness early in the morning * and of thy truth in the night-season;	92002	1610
Psalm92.3	3 Upon an instrument of ten strings, and upon the lute * upon a loud instrument, and upon the harp.	Upon an instrument of ten strings, and upon the lute * upon a loud instrument, and upon the harp.	92003	1611
Psalm92.4	4 For thou, Lord, hast made me glad through thy works * and I will rejoice in giving praise for the operations of thy hands.	For thou, Lord, hast made me glad through thy works * and I will rejoice in giving praise for the operations of thy hands.	92004	1612
Psalm92.5	5 O Lord, how glorious are thy works * thy thoughts are very deep.	O Lord, how glorious are thy works * thy thoughts are very deep.	92005	1613
Psalm92.6	6 An unwise man doth not well consider this * and a fool doth not understand it.	An unwise man doth not well consider this * and a fool doth not understand it.	92006	1614
Psalm92.7	7 When the ungodly are green as the grass, and when all the workers of wickedness do flourish * then shall they be destroyed for ever; but thou, Lord, art the most Highest for evermore.	When the ungodly are green as the grass, and when all the workers of wickedness do flourish * then shall they be destroyed for ever; but thou, Lord, art the most Highest for evermore.	92007	1615
Psalm92.8	8 For lo, thine enemies, O Lord, lo, thine enemies shall perish * and all the workers of wickedness shall be destroyed.	For lo, thine enemies, O Lord, lo, thine enemies shall perish * and all the workers of wickedness shall be destroyed.	92008	1616
Psalm92.9	9 But mine horn shall be exalted like the horn of an unicorn * for I am anointed with fresh oil.	But mine horn shall be exalted like the horn of an unicorn * for I am anointed with fresh oil.	92009	1617
Psalm92.10	10 Mine eye also shall see his lust of mine enemies * and mine ear shall hear his desire of the wicked that arise up against me.	Mine eye also shall see his lust of mine enemies * and mine ear shall hear his desire of the wicked that arise up against me.	92010	1618
