ValidationDropDownList	Hymnal	HymnNumber	PD	FirstLine	Tune	Metre	Occasion	EHNote	EHNote2
C892 Lord of all creation	CH:Celebration Hymnal for Everyone	892		Lord of all creation					
C893 Lord of life	CH:Celebration Hymnal for Everyone	893		Lord of life					
C894 May God the Father (May flights of angels)	CH:Celebration Hymnal for Everyone	894		May God the Father (May flights of angels)					
C895 My Jesus, my Saviour	CH:Celebration Hymnal for Everyone	895		My Jesus, my Saviour					
C896 Nearer my God to thee	CH:Celebration Hymnal for Everyone	896		Nearer my God to thee					
C897 Now let your servant go in peace	CH:Celebration Hymnal for Everyone	897		Now let your servant go in peace					
C898 O God, you search me	CH:Celebration Hymnal for Everyone	898		O God, you search me					
C899 O let the Son of God enfold you	CH:Celebration Hymnal for Everyone	899		O let the Son of God enfold you					
C9 Abide with me	CH:Celebration Hymnal for Everyone	9	*	Abide with me					
C90 Blest are you, Lord, God of all creation	CH:Celebration Hymnal for Everyone	90		Blest are you, Lord, God of all creation					
C900 O Lord your tenderness	CH:Celebration Hymnal for Everyone	900		O Lord your tenderness					
C901 One more step along the world I go	CH:Celebration Hymnal for Everyone	901		One more step along the world I go					
C902 Only by grace	CH:Celebration Hymnal for Everyone	902		Only by grace					
C903 Lord reign in me	CH:Celebration Hymnal for Everyone	903		Lord reign in me					
C903 Over all the earth (Lord, reign in me)	CH:Celebration Hymnal for Everyone	903		Over all the earth (Lord, reign in me)					
C904 Prepare the way	CH:Celebration Hymnal for Everyone	904		Prepare the way					
C905 Return to God	CH:Celebration Hymnal for Everyone	905		Return to God					
C906 Rise and shine	CH:Celebration Hymnal for Everyone	906		Rise and shine					
C907 See Him lying on a bed of straw	CH:Celebration Hymnal for Everyone	907		See Him lying on a bed of straw					
C908 Share the light of Jesus	CH:Celebration Hymnal for Everyone	908		Share the light of Jesus					
C909 Spirit of God, rest on your people	CH:Celebration Hymnal for Everyone	909		Spirit of God, rest on your people					
C91 Blest be the Lord (Schutte)	CH:Celebration Hymnal for Everyone	91		Blest be the Lord (Schutte)					
C910 Such love	CH:Celebration Hymnal for Everyone	910		Such love					
C911 Take me, Lord	CH:Celebration Hymnal for Everyone	911		Take me, Lord					
C912 The heavens are telling	CH:Celebration Hymnal for Everyone	912		The heavens are telling					
C913 The Lord’s my shepherd (Bain)	CH:Celebration Hymnal for Everyone	913		The Lord’s my shepherd (Bain)					
C914 The Spirit lives (Walk in the light)	CH:Celebration Hymnal for Everyone	914		The Spirit lives (Walk in the light)					
C914 Walk in the Light	CH:Celebration Hymnal for Everyone	914		Walk in the Light					
C915 There is a longing	CH:Celebration Hymnal for Everyone	915		There is a longing					
C916 Jubilee Song	CH:Celebration Hymnal for Everyone	916		Jubilee Song					
C916 We are young (Jubilee song)	CH:Celebration Hymnal for Everyone	916		We are young (Jubilee song)					
C917 We bring to you this bread and wine	CH:Celebration Hymnal for Everyone	917		We bring to you this bread and wine					
C918 What shall we give	CH:Celebration Hymnal for Everyone	918		What shall we give					
C919 When my mind is still (I hear your voice)	CH:Celebration Hymnal for Everyone	919		When my mind is still (I hear your voice)					
C92 Bread for the world, a world of hunger	CH:Celebration Hymnal for Everyone	92		Bread for the world, a world of hunger					
C920 Kyrie, eleison I (Berthier)	CH:Celebration Hymnal for Everyone	920		Kyrie, eleison I (Berthier)					
C923 Kyrie, elesion (Russian)	CH:Celebration Hymnal for Everyone	923		Kyrie, elesion (Russian)					
C924 Gloria Tintinnabuli (Geary)	CH:Celebration Hymnal for Everyone	924		Gloria Tintinnabuli (Geary)					
C927a Plymouth Mass Gloria	CH:Celebration Hymnal for Everyone	927a		Plymouth Mass Gloria					
C927b Mass of St Luke the Evangelist (Gloria)	CH:Celebration Hymnal for Everyone	927b		Mass of St Luke the Evangelist (Gloria)					
C927c Pershore Mass Gloria	CH:Celebration Hymnal for Everyone	927c		Pershore Mass Gloria					
C928 Gospel Greeting	CH:Celebration Hymnal for Everyone	928		Gospel Greeting					
C929 Millennium Alleluia	CH:Celebration Hymnal for Everyone	929		Millennium Alleluia					
C93 Bread for the world broken (standard)	CH:Celebration Hymnal for Everyone	93		Bread for the world broken (standard)					
C930 Sing praises to the Lord	CH:Celebration Hymnal for Everyone	930		Sing praises to the Lord					
C930 Song of welcome for the Word	CH:Celebration Hymnal for Everyone	930		Song of welcome for the Word					
C931 Alleluia Gaudete (Walker)	CH:Celebration Hymnal for Everyone	931		Alleluia Gaudete (Walker)					
C932 Halle, Halle, Halle	CH:Celebration Hymnal for Everyone	932		Halle, Halle, Halle					
C935 Hear our prayer (Sands)	CH:Celebration Hymnal for Everyone	935		Hear our prayer (Sands)					
C936 Millennium Mass	CH:Celebration Hymnal for Everyone	936		Millennium Mass					
C94 Bread for the world broken (Christmas)	CH:Celebration Hymnal for Everyone	94		Bread for the world broken (Christmas)					
C95 Bread of life, hope of the world (standard)	CH:Celebration Hymnal for Everyone	95		Bread of life, hope of the world (standard)					
C951 Lord’s Prayer, The (Russian Our Father)	CH:Celebration Hymnal for Everyone	951		Lord’s Prayer, The (Russian Our Father)					
C951 Our Father (Russian Our Father)	CH:Celebration Hymnal for Everyone	951		Our Father (Russian Our Father)					
C952 Celtic Mass (Our Father)	CH:Celebration Hymnal for Everyone	952		Celtic Mass (Our Father)					
C952 Our Father (Celtic Mass)	CH:Celebration Hymnal for Everyone	952		Our Father (Celtic Mass)					
C96 Bread of life, hope of the world (Christmas)	CH:Celebration Hymnal for Everyone	96	*	Bread of life, hope of the world (Christmas)					
C964 St. Anne’s Mass	CH:Celebration Hymnal for Everyone	964		St. Anne’s Mass					
C967e Nicene Creed (Psallite Mass)	CH:Celebration Hymnal for Everyone	967e		Nicene Creed (Psallite Mass)					
C967f Apostle’s Creed (Psallite Mass)	CH:Celebration Hymnal for Everyone	967f		Apostle’s Creed (Psallite Mass)					
C97 Bread of the world	CH:Celebration Hymnal for Everyone	97	*	Bread of the world					
C98 Breathe on me, Breath of God	CH:Celebration Hymnal for Everyone	98	*	Breathe on me, Breath of God					
C99 Brightest and best	CH:Celebration Hymnal for Everyone	99	*	Brightest and best					
C999 Canticle of Moses - I will sing to the Lord Easter Vigil	CH:Celebration Hymnal for Everyone	999		Canticle of Moses - I will sing to the Lord Easter Vigil					
E1 Creator of the stars of night (PLAINSONG)	EH:English Hymnal	1		Creator of the stars of night	Plainsong	L.M.	Advent	P	
E10 Saviour eternal! Health and life of the world unfailing (PLAINSONG)	EH:English Hymnal	10		Saviour eternal! Health and life of the world unfailing	Plainsong		Advent	P	
E100 Go to dark Gethsemane (NICHT SO TRAURIG)	EH:English Hymnal	100		Go to dark Gethsemane	Nicht so traurig	77.77.77.	Passiontide		
E101 My God! my God! and can it be (DER TAG BRICHT AN)	EH:English Hymnal	101		My God! my God! and can it be	Der tag bricht an	L.M.	Passiontide		
E102 O sacred head, sore wounded (PASSION CHORALE)	EH:English Hymnal	102		O sacred head, sore wounded	Passion Chorale	76.76.D.	Passiontide		
E103 O sinner, raise the eye of faith (ALLEIN GOTT IN DER HÖH SEI EHR)	EH:English Hymnal	103		O sinner, raise the eye of faith	Allein Gott in der höh sei ehr	87.87.887.	Passiontide		
E104 Servant of God, remember (NUN LASST UNS GEH’N)	EH:English Hymnal	104		Servant of God, remember	Nun lasst uns geh’n	77.77.	Passiontide	P	App. 2
E105 Sweet the moments, rich in blessing (BATTY)	EH:English Hymnal	105		Sweet the moments, rich in blessing	Batty	87.87.	Passiontide		
E106 There is a green hill far away (HORSLEY)	EH:English Hymnal	106		There is a green hill far away	Horsley	C.M.	Passiontide		
E107 When I survey the wondrous Cross (CATON OR ROCKINGHAM)	EH:English Hymnal	107		When I survey the wondrous Cross	Caton or Rockingham	L.M.	Passiontide		
E108 Who is this with garments gory (EBENEZER (TON-Y-BOTEL))	EH:English Hymnal	108		Who is this with garments gory	Ebenezer (Ton-y-botel)	87.87.D.	Passiontide		
E109 O thou who through this holy week (CHESHIRE)	EH:English Hymnal	109		O thou who through this holy week	Cheshire	C.M.	Holy Week		
E11 The advent of our God (ST THOMAS)	EH:English Hymnal	11		The advent of our God	St Thomas	S.M.	Advent		
E110 See the destined day arise! (NUN KOMM, DER HEIDEN HEILAND)	EH:English Hymnal	110		See the destined day arise!	Nun komm, der heiden heiland	77.77.	Good Friday		
E111 O come and mourn with me awhile (DAS LEIDEN DES HERRN 1E OR ST. CROSS 2E)	EH:English Hymnal	111		O come and mourn with me awhile	Das leiden des Herrn 1E or St. Cross 2E	L.M.	Good Friday		App. 11
E112 Forgive them, O my Father (ST MARY MAGDALENE)	EH:English Hymnal	112		Forgive them, O my Father	St Mary Magdalene	76.76.	Good Friday		
E113 ‘Lord, when thy kingdom comes, remember me’ (SONG 4)	EH:English Hymnal	113		‘Lord, when thy kingdom comes, remember me’	Song 4	10 10.10 10.	Good Friday		
E114 The dying robber raised his aching brow (OLD 124TH)	EH:English Hymnal	114		The dying robber raised his aching brow	Old 124th	10.10.10.10.10.	Good Friday		
E115 At the Cross her station keeping (STABAT MATER DOLOROSA)	EH:English Hymnal	115		At the Cross her station keeping	Stabat Mater Dolorosa	887.D.	Good Friday	P 2E only	
E116 Throned upon the awful Tree (ARFON)	EH:English Hymnal	116		Throned upon the awful Tree	Arfon	77.77.77.	Good Friday		
E117 His are the thousand sparkling rills (SAFFRON WALDEN)	EH:English Hymnal	117		His are the thousand sparkling rills	Saffron walden	88.86.	Good Friday		
E118 It is finished! Christ hath known (JESU MEINES GLAUBENS ZIER [F MAJOR])	EH:English Hymnal	118		It is finished! Christ hath known	Jesu meines Glaubens Zier [F major]	78.87.87.87.	Good Friday		
E119 And now, belovèd Lord, thy soul resigning (ZU MEINEM HERRN)	EH:English Hymnal	119		And now, belovèd Lord, thy soul resigning	Zu meinem Herrn	11 10.11 10.	Good Friday		
E12 Wake, O wake! with tidings thrilling (WACHET AUF!)	EH:English Hymnal	12		Wake, O wake! with tidings thrilling	Wachet auf!	898.898.665.88.	Advent		
E120 It is finished! Blessèd Jesus (OMNI DIE)	EH:English Hymnal	120		It is finished! Blessèd Jesus	Omni die	87.87.	Good Friday Evening and Easter Even		
E121 By Jesus’ grave on either hand (O MENSCH SIEH)	EH:English Hymnal	121		By Jesus’ grave on either hand	O mensch sieh	888	Good Friday Evening and Easter Even		
E122 Ye choirs of new Jerusalem (BROCKHAM 1E OR MONTESANO 2E)	EH:English Hymnal	122		Ye choirs of new Jerusalem	Brockham 1E or Montesano 2E	L.M.	Eastertide	P	
E123 The day draws on with golden light (SOLEMNIS HAEC FESTIVITAS)	EH:English Hymnal	123		The day draws on with golden light	Solemnis haec festivitas	L.M.	Eastertide	P	
E124 His cheering message from the grave (SOLEMNIS HAEC FESTIVITAS)	EH:English Hymnal	124		His cheering message from the grave	Solemnis haec festivitas	L.M.	Eastertide	P	
E125 The Lamb’s high banquet we await (REX GLORIOSE)	EH:English Hymnal	125		The Lamb’s high banquet we await	Rex gloriose	L.M.	Eastertide	P	App. 6 1E/26 2E
E126 A brighter dawn is breaking (NUN LASST UNS GOTT DEM HERREN)	EH:English Hymnal	126		A brighter dawn is breaking	Nun lasst uns Gott dem Herren	77.77.	Eastertide		
E127 Alleluya! Alleluya! Hearts to heaven and voices raise (EVERTON 1E OR WÜRZBURG 2E)	EH:English Hymnal	127		Alleluya! Alleluya! Hearts to heaven and voices raise	Everton 1E or Würzburg 2E	87.87.D.	Eastertide		App. 27
E128 At the Lamb’s high feast we sing (SALZBURG)	EH:English Hymnal	128		At the Lamb’s high feast we sing	Salzburg	77.77.D.	Eastertide		
E129 Christ the Lord is risen again! (ORIENTIS PARTIBUS)	EH:English Hymnal	129		Christ the Lord is risen again!	Orientis partibus	77.77.4.	Eastertide		App. 12
E13 When came in flesh the incarnate Word (WALSALL)	EH:English Hymnal	13		When came in flesh the incarnate Word	Walsall	C.M.	Advent		
E130 Christians, to the Paschal Victim (PLAINSONG)	EH:English Hymnal	130		Christians, to the Paschal Victim	Plainsong		Eastertide	P	
E131 Come, ye faithful, raise the strain (AVE VIRGO VIRGINUM)	EH:English Hymnal	131		Come, ye faithful, raise the strain	Ave virgo virginum	76.76.D.	Eastertide		
E132 He is risen, he is risen: (GOTT DES HIMMELS)	EH:English Hymnal	132		He is risen, he is risen:	Gott des himmels	87.87.77.	Eastertide		
E133 Jesus Christ is risen to-day, Alleluya! (EASTER HYMN [C MAJOR])	EH:English Hymnal	133		Jesus Christ is risen to-day, Alleluya!	Easter Hymn [C major]	74.74.D.	Eastertide		App. 13 [D major]
E134 Jesus lives! thy terrors now (CHRIST IST ERSTANDEN OR ST ALBINUS)	EH:English Hymnal	134		Jesus lives! thy terrors now	Christ ist erstanden or St Albinus	78.784.	Eastertide		
E135 Love’s redeeming work is done (SAVANNAH (OR HERRNHUT))	EH:English Hymnal	135		Love’s redeeming work is done	Savannah (or Herrnhut)	77.77.	Eastertide		
E136 On the Resurrection morning (HORNSEY 1E OR RESURRECTION MORNING 2E)	EH:English Hymnal	136		On the Resurrection morning	Hornsey 1E or Resurrection Morning 2E	87.83.	Eastertide		App. 28
